Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
"FHIR Version: R4B (4.3.0) — base resource: AllergyIntolerance, unchanged in structure between R4 and R4B. Flagged in your workflow as high-priority/must-fetch on patient lookup — design this profile so criticality and reaction detail are never silently dropped.",,,,,,,,,,
AllergyIntolerance,AllergyIntolerance.clinicalStatus,1,1,Coded status,code,Whether the allergy/intolerance is currently considered active.,,,http://hl7.org/fhir/ValueSet/allergyintolerance-clinical,REQUIRED (Min 1..1) AND MUST SUPPORT. active | inactive | resolved.
AllergyIntolerance,AllergyIntolerance.verificationStatus,1,1,Coded status,code,Confidence level in this allergy record.,,,http://hl7.org/fhir/ValueSet/allergyintolerance-verification,"REQUIRED (Min 1..1) AND MUST SUPPORT. unconfirmed | confirmed | refuted | entered-in-error. Emergency intake often captures this as patient/caller self-report — expect 'unconfirmed' to be common, and make sure downstream systems still display it prominently rather than treating unconfirmed as 'not present'. Same staged-trust principle as Condition.verificationStatus discussed earlier."
AllergyIntolerance,AllergyIntolerance.type,0,1,Coded status,code,Allergy vs. intolerance.,,,http://hl7.org/fhir/ValueSet/allergy-intolerance-type,OPTIONAL — not must-support. Often not distinguishable in the heat of an emergency intake; category and code carry most of the clinically actionable information regardless.
AllergyIntolerance,AllergyIntolerance.category,0,*,Coded status,code,food | medication | environment | biologic.,,,http://hl7.org/fhir/ValueSet/allergy-intolerance-category,MUST SUPPORT (Min 0..*) — medication allergies specifically are safety-critical for any drug about to be administered in the field (see EMMedicationAdministration); populate this whenever known.
AllergyIntolerance,AllergyIntolerance.criticality,1,1,Coded status,code,Overall potential clinical harm from a future reaction.,,,http://hl7.org/fhir/ValueSet/allergyintolerance-criticality,"REQUIRED (Min 1..1) AND MUST SUPPORT. low | high | unable-to-assess. THIS is the field your 'high-priority/must-fetch' requirement is really about — it's what should drive a prominent alert/banner on patient lookup, more so than criticality being buried only in prose notes."
AllergyIntolerance,AllergyIntolerance.code,1,1,Coded concept,CodeableConcept,"The substance/allergen itself, e.g. penicillin, peanuts, latex.",,,http://hl7.org/fhir/ValueSet/allergyintolerance-code (SNOMED CT / RxNorm),REQUIRED (Min 1..1) AND MUST SUPPORT.
AllergyIntolerance,AllergyIntolerance.patient,1,1,Reference,Reference(Patient),The patient this allergy record belongs to.,,,n/a,REQUIRED (Min 1..1).
AllergyIntolerance,AllergyIntolerance.encounter,0,1,Reference,Reference(Encounter),"The encounter this record was captured/updated during, if relevant.",,,n/a,"MUST SUPPORT (Min 0..1) — an allergy list is usually patient-level rather than encounter-specific, but link it to EMPOCEncounter when newly captured during this episode so provenance is clear."
AllergyIntolerance,AllergyIntolerance.onsetDateTime / onsetAge / onsetString,0,1,Timestamp/value (choice),"dateTime, Age, or string","When the allergy was first identified/experienced, if known.",,,n/a,OPTIONAL — not must-support.
AllergyIntolerance,AllergyIntolerance.recordedDate,0,1,Timestamp,dateTime,When this record was captured.,,,n/a,MUST SUPPORT (Min 0..1) — useful for knowing how fresh a self-reported allergy is relative to the current episode.
AllergyIntolerance,AllergyIntolerance.recorder,0,1,Reference,Reference(Practitioner|PractitionerRole|Patient|RelatedPerson),Who captured this record.,,,n/a,OPTIONAL — not must-support.
AllergyIntolerance,AllergyIntolerance.asserter,0,1,Reference,Reference(Patient|RelatedPerson|Practitioner|PractitionerRole),"Who originally reported the allergy — often the patient or caller themselves in an emergency, not a clinician.",,,n/a,"MUST SUPPORT (Min 0..1) — important to distinguish self-reported (asserter=Patient/RelatedPerson, likely paired with verificationStatus=unconfirmed) from clinically confirmed allergies, same principle as the caller-reported vs EMT-assessed Observation staging on EMIncidentEncounter/EMPOCEncounter."
AllergyIntolerance,AllergyIntolerance.reaction,0,*,Nested structure,BackboneElement,Details of the actual reaction(s) previously experienced.,,,n/a,MUST SUPPORT (Min 0..*) — populate whenever any detail beyond the bare allergen code is known; a criticality flag without reaction detail is much less actionable for a treating clinician deciding on an alternative drug.
AllergyIntolerance,AllergyIntolerance.reaction.manifestation,1,1,Coded concept (within reaction),CodeableConcept,"What the reaction looked like, e.g. anaphylaxis, rash, hives.",,,http://hl7.org/fhir/ValueSet/clinical-findings (SNOMED CT),REQUIRED (Min 1..1) within any populated reaction element — a reaction entry without a manifestation code is not meaningful.
AllergyIntolerance,AllergyIntolerance.reaction.severity,0,1,Coded status (within reaction),code,Severity of that specific reaction.,,,http://hl7.org/fhir/ValueSet/reaction-event-severity,MUST SUPPORT (Min 0..1). mild | moderate | severe — a 'severe' reaction history is exactly the kind of detail that should surface immediately alongside criticality on patient lookup.
Explicit 'No Known Allergy' assertion (required alternate path),,,,,,,,,,
AllergyIntolerance,AllergyIntolerance (no-known-allergy assertion),1,1,Alternate resource instance,AllergyIntolerance,An explicit record asserting that a full allergy history was taken and nothing was found — distinct from simply having zero AllergyIntolerance resources. Maps to allergies.no_known_allergies=true in real handover data.,,,http://hie.go.ke/fhir/CodeSystem/em-allergy-status | 716186003 (SNOMED CT 'No known allergy (situation)'),"REQUIRED — this is the single most important fix identified from real handover data. The absence of any AllergyIntolerance resource is ambiguous (does it mean 'confirmed none' or 'never asked'?), and that ambiguity is exactly the kind of gap that gets a contraindicated drug administered. RULE: by the time the allergy-history section of the assessment is marked complete, EXACTLY ONE of the following must exist for the patient — (a) one or more real AllergyIntolerance instances with an actual allergen code, or (b) this explicit no-known-allergy instance. Never both, never neither."
AllergyIntolerance,AllergyIntolerance.code (no-known-allergy variant),1,1,Coded concept,CodeableConcept,Fixed to the SNOMED CT 'No known allergy (situation)' concept rather than any real allergen.,,,SNOMED CT 716186003,"REQUIRED on this variant instance. clinicalStatus = active, verificationStatus = confirmed (or 'unconfirmed' if only patient/caller-asserted and not yet clinically corroborated — same staged-trust principle used elsewhere on this profile)."
AllergyIntolerance,AllergyIntolerance.recordedDate (no-known-allergy variant),1,1,Timestamp,dateTime,When the 'no known allergy' assertion was made. Maps to allergies.recorded_at.,,,n/a,"REQUIRED on this variant instance — timestamps when the history was actually taken, so a stale 'no known allergy' from an earlier, less-thorough intake can be distinguished from a fresh one."
Display / lookup guidance (not a FHIR element),,,,,,,,,,
