Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
"FHIR Version: R4B (4.3.0) — base resource: Observation, unchanged in structure between R4 and R4B. Largely reuses the standard FHIR vital-signs profiles rather than inventing new structure.",,,,,,,,,,
Common elements — apply to every vital-sign Observation instance,,,,,,,,,,
Observation,Observation.status,1,1,Coded status,code,Workflow status of the measurement.,,,http://hl7.org/fhir/ValueSet/observation-status,REQUIRED (Min 1..1) AND MUST SUPPORT. Canonical FHIR ValueSet (required binding): registered | preliminary | final | amended | corrected | cancelled | entered-in-error | unknown. Field vitals are usually 'final' once entered — 'preliminary' is rare in this workflow but keep it available.
Observation,Observation.category,1,1,Coded concept,CodeableConcept,Fixed to 'vital-signs' for HR/BP/RR/Temp/SpO2/GCS; 'survey' or a local 'triage' category for the acuity score.,,,http://terminology.hl7.org/CodeSystem/observation-category,REQUIRED (Min 1..1) AND MUST SUPPORT. Use the standard category so any FHIR-native vitals viewer/chart in a receiving facility renders these correctly without needing to know your local extensions.
Observation,Observation.code,1,1,Coded concept,CodeableConcept,Which vital sign or score this instance represents.,,,"http://hl7.org/fhir/ValueSet/observation-vitalsignresult (LOINC) for vitals; http://hie.go.ke/fhir/ValueSet/em-triage-acuity-code (local, proposed) for the acuity score","REQUIRED (Min 1..1) AND MUST SUPPORT. Reuse canonical LOINC codes rather than inventing local ones for vitals: HR 8867-4, Respiratory Rate 9279-1, Temperature 8310-5, SpO2 59408-5, Blood Pressure panel 85354-9 (components: systolic 8480-6, diastolic 8462-4), GCS total 9269-2 (components: eye-opening, verbal, motor — confirm exact component LOINC codes with your terminology team before finalizing, as these are easy to mis-cite). Vendor systems (Savannah, IntelliSOFT, Konvergenz, Tiberbu, KNH/AfyaApex) are far more likely to already recognize these than a local code."
Observation,Observation.subject,1,1,Reference,Reference(Patient),The patient being measured.,,,n/a,REQUIRED (Min 1..1).
Observation,Observation.encounter,1,1,Reference,Reference(Encounter),"The encounter this measurement was taken in — typically EMPOCEncounter, or a downstream ED Encounter for repeat measurements.",,,n/a,REQUIRED (Min 1..1) — essential for trending vitals across the episode (dispatch snapshot vs on-scene vs in-transit vs ED arrival).
Observation,Observation.effectiveDateTime,1,1,Timestamp,dateTime,Exact time the measurement was taken.,,,n/a,"REQUIRED (Min 1..1) AND MUST SUPPORT. Non-negotiable for emergency vitals — trending HR/BP/GCS over exact minutes is often the whole clinical point (e.g. deteriorating GCS, worsening shock index)."
Observation,Observation.performer,0,1,Reference,Reference(Practitioner|PractitionerRole),Who took the measurement.,,,n/a,"MUST SUPPORT (Min 0..1) — recommended to always populate in practice, but not forced to 1..1 since some device-sourced vitals (e.g. an automated monitor feed) may not cleanly attribute a human performer."
Observation,Observation.interpretation,0,1,Coded concept,CodeableConcept,High/low/critical flag relative to normal range. Maps to vitals.readings[].severity (normal | warning | critical in the real payload).,,,http://hl7.org/fhir/ValueSet/observation-interpretation,"UPGRADED TO MUST SUPPORT (Min 0..1) — originally scoped as optional, but real handover data shows this actively drives clinical alerting (e.g. SpO2 80% flagged 'critical'), not just dashboard cosmetics. Map warning/critical from the source system onto the FHIR interpretation codes (e.g. H/HH, L/LL) rather than carrying the source severity string as free text."
Observation,Observation.extension:clinicalGuidanceMessage,0,1,Extension,Extension (string),"Auto-generated clinical guidance text tied to the severity flag, e.g. 'Low oxygen saturation. Start supplemental oxygen and reassess airway and breathing.'",,,n/a,"MUST SUPPORT (Min 0..1) — newly identified from real handover data. This is clinical decision-support content, not just a label; worth preserving verbatim from the source system rather than discarding once the coded interpretation is captured, since the specific wording may carry protocol-specific instructions."
Observation,Observation.extension:qualitativeState,0,1,Extension,Extension (CodeableConcept),"Qualitative descriptor independent of the numeric value, e.g. pulse 'weak', breathing 'labored'. Maps to readings[].state.",,,"http://hie.go.ke/fhir/ValueSet/em-vital-qualitative-state (local, proposed)",MUST SUPPORT (Min 0..1) — newly identified from real handover data. This is independent clinical signal (a 'weak' pulse at a normal rate is a different finding from a 'strong' one at the same rate) and must not be silently dropped just because the numeric value already has a slot.
Observation,Observation.extension:ageGroup,0,1,Extension,Extension (CodeableConcept),"Age-group bucket used to select the applicable reference range for this reading, e.g. adult vs paediatric. Maps to vitals.age_group.",,,"http://hie.go.ke/fhir/ValueSet/em-age-group (local, proposed)",MUST SUPPORT (Min 0..1) — newly identified from real handover data. Ties directly to EMPatient.extension:isAdult; keep the two consistent for a given patient rather than letting them drift independently across resources.
Observation,Observation.referenceRange,0,*,Nested structure,BackboneElement,"Normal range for this vital, if your system computes one (e.g. age-adjusted for paediatric HR/RR).",,,n/a,OPTIONAL — not must-support.
"Value — numeric vitals (HR, RR, Temp, SpO2)",,,,,,,,,,
Observation,Observation.valueQuantity,1,1,Measured value,Quantity,"The numeric result with UCUM unit, e.g. HR=110 /min, Temp=38.2 Cel, SpO2=94 %.",,,http://unitsofmeasure.org (UCUM),"REQUIRED (Min 1..1) for single-value vitals (HR, RR, Temp, SpO2). Use UCUM units consistently — do not let vendor free-text units leak through (e.g. 'bpm' vs '/min')."
"Value — panel vitals with components (Blood Pressure, GCS)",,,,,,,,,,
Observation,Observation.component (BP: systolic),1,1,Nested structure,BackboneElement (Quantity),Systolic blood pressure as a component of the BP panel Observation (code=85354-9).,,,http://loinc.org | 8480-6,REQUIRED (Min 1..1) when Observation.code = BP panel. MUST SUPPORT.
