Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
FHIR Version: R4B (4.3.0) — base resource: Observation. NEW PROFILE — identified as a gap from real handover data (assessment block: 8 body-region findings with zero prior modeling).,,,,,,,,,,
Design principle,,,,,,,,,,
Observation,N/A — profile-level note,,,Guidance,n/a (reference row),"One Observation instance per body region examined (head, neck, chest, back_and_spine, abdomen, pelvis, upper_extremities, lower_extremities) — not one Observation for the whole secondary survey.",,,n/a,"Mirrors the explicit-absence pattern used on EMAllergyIntolerance: a region with nothing abnormal found must be recorded as an explicit 'examined, no findings' Observation, never left as a silently-missing resource. By the time the secondary survey is marked complete, expect exactly 8 Observation instances for a full-body exam (fewer only if the survey was genuinely partial, e.g. limited by scene safety)."
Core Elements (apply to every body-region Observation),,,,,,,,,,
Observation,Observation.status,1,1,Coded status,code,Workflow status of the exam finding.,,,http://hl7.org/fhir/ValueSet/observation-status,REQUIRED (Min 1..1) AND MUST SUPPORT.
Observation,Observation.category,1,1,Coded concept,CodeableConcept,Fixed to 'exam'.,,,http://terminology.hl7.org/CodeSystem/observation-category,REQUIRED (Min 1..1) AND MUST SUPPORT.
Observation,Observation.code,1,1,Coded concept,CodeableConcept,"Identifies this as a secondary-survey examination of a specific region, e.g. local code 'secondary-survey-head'.",,,"http://hie.go.ke/fhir/ValueSet/em-secondary-survey-region (local, proposed)",REQUIRED (Min 1..1) AND MUST SUPPORT.
Observation,Observation.bodySite,1,1,Coded concept,CodeableConcept,The body region examined. Maps to assessment.<region>.region.,,,"http://hie.go.ke/fhir/ValueSet/em-body-region (local, proposed)","REQUIRED (Min 1..1) — tightened from the base spec's optional binding specifically for this profile, since the region IS the identity of each instance. Proposed values: head | neck | chest | back-and-spine | abdomen | pelvis | upper-extremities | lower-extremities."
Observation,Observation.subject,1,1,Reference,Reference(Patient),The patient examined.,,,n/a,REQUIRED (Min 1..1).
Observation,Observation.encounter,1,1,Reference,Reference(Encounter),The encounter this exam was performed in — typically EMPOCEncounter.,,,n/a,REQUIRED (Min 1..1).
Observation,Observation.effectiveDateTime,1,1,Timestamp,dateTime,When this region was examined. Maps to recorded_at.,,,n/a,REQUIRED (Min 1..1) AND MUST SUPPORT.
Observation,Observation.performer,0,1,Reference,Reference(Practitioner|PractitionerRole),Who performed the exam. Maps to recorded_by.,,,n/a,MUST SUPPORT (Min 0..1).
Findings & Explicit 'No Findings' Assertion,,,,,,,,,,
Observation,Observation.valueCodeableConcept / component (findings),0,*,Measured value,CodeableConcept (or component list),"The abnormal finding(s) for this region, e.g. 'contusion' (head), 'swelling' (neck). Maps to findings[].",,,http://hl7.org/fhir/ValueSet/body-structure (SNOMED CT clinical findings),MUST SUPPORT (Min 0..*) — use Observation.component if more than one discrete finding needs to be individually coded per region (e.g. both 'laceration' and 'bruising' on the same limb) rather than concatenating into one CodeableConcept.
Observation,Observation.extension:noFindingsOnExam,1,1,Extension,Extension (boolean),Explicit flag confirming this region WAS examined and nothing abnormal was found. Maps to no_findings.,,,n/a,"REQUIRED (Min 1..1) — the core fix identified from real handover data, same principle as the no-known-allergy pattern on EMAllergyIntolerance. This element must ALWAYS be populated: true when findings is empty/no abnormality, false whenever any finding is coded. Never allow 'findings absent AND noFindingsOnExam absent' — that combination is exactly the ambiguity ('was this region even checked?') this profile exists to eliminate."
Observation,Observation.note,0,*,Annotation,Annotation,Free-text notes about the regional exam.,,,n/a,OPTIONAL — not must-support.
