Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
"FHIR Version: R4B (4.3.0) — base resource: MedicationAdministration, unchanged in structure between R4 and R4B. Used instead of MedicationRequest because emergency care is administration-heavy — drugs are given in real time, not merely prescribed.",,,,,,,,,,
MedicationAdministration,MedicationAdministration.status,1,1,Coded status,code,Workflow status of the administration.,,,http://hl7.org/fhir/ValueSet/medication-admin-status,"REQUIRED (Min 1..1) AND MUST SUPPORT. Canonical FHIR ValueSet (required binding): in-progress | not-done | on-hold | completed | entered-in-error | stopped | unknown. 'not-done' matters — capture an attempted-but-withheld administration (e.g. allergy caught just in time), not just successful ones."
MedicationAdministration,MedicationAdministration.medicationCodeableConcept,1,1,Coded concept,CodeableConcept,The drug administered.,,,http://hl7.org/fhir/ValueSet/medication-codes (extend with RxNorm/local formulary as needed),REQUIRED (Min 1..1) AND MUST SUPPORT. Use medicationCodeableConcept rather than medicationReference(Medication) unless you already maintain a Medication resource catalog — simpler for a field EMT app.
MedicationAdministration,MedicationAdministration.subject,1,1,Reference,Reference(Patient),The patient who received the medication.,,,n/a,REQUIRED (Min 1..1).
MedicationAdministration,MedicationAdministration.context,1,1,Reference,Reference(Encounter),The encounter the administration occurred in — typically EMPOCEncounter.,,,n/a,"REQUIRED (Min 1..1) — tightened from the base spec's optional 0..1 binding for this profile, since every emergency drug administration must be traceable to a specific encounter for both clinical and SHA claims purposes."
MedicationAdministration,MedicationAdministration.effectiveDateTime / effectivePeriod,1,1,Timestamp (choice),dateTime or Period,Exact time the drug was given (or start/end for an infusion).,,,n/a,REQUIRED (Min 1..1) AND MUST SUPPORT — this is the core real-time administration record; exact timing matters for drug-interaction windows and protocol timing (e.g. epinephrine redosing intervals in resuscitation).
MedicationAdministration,MedicationAdministration.performer,0,*,Nested structure,BackboneElement,Who administered the medication.,,,n/a,MUST SUPPORT (Min 0..*) — recommended to always populate in practice.
MedicationAdministration,MedicationAdministration.performer.actor,0,1,Reference (within performer),Reference(Practitioner|PractitionerRole),The specific EMT/paramedic/clinician who gave the drug.,,,n/a,MUST SUPPORT (Min 0..1).
MedicationAdministration,MedicationAdministration.dosage,0,1,Nested structure,BackboneElement,"Dose, route, and rate of administration.",,,n/a,"MUST SUPPORT (Min 0..1) — strongly recommended to populate given the clinical/legal weight of dosing accuracy, but not forced to 1..1 to avoid rejecting a record if a field app fails to capture structured dosage in a chaotic scene."
MedicationAdministration,MedicationAdministration.dosage.dose,0,1,Measured value (within dosage),Quantity,"The amount given, e.g. 1 mg, 0.3 mg.",,,http://unitsofmeasure.org (UCUM),MUST SUPPORT (Min 0..1).
MedicationAdministration,MedicationAdministration.dosage.route,0,1,Coded concept (within dosage),CodeableConcept,"Route of administration, e.g. IV, IM, IO, inhaled.",,,http://hl7.org/fhir/ValueSet/route-codes (SNOMED CT),MUST SUPPORT (Min 0..1) — route materially changes onset/effect and is frequently reviewed in case audits; populate whenever the dosage element itself is used.
MedicationAdministration,MedicationAdministration.dosage.rateQuantity / rateRatio,0,1,Measured value (within dosage),Quantity or Ratio,"Infusion rate, if the drug was given as a continuous infusion rather than a bolus.",,,http://unitsofmeasure.org (UCUM),"OPTIONAL — not must-support. Only relevant for infusions, uncommon relative to bolus dosing in field EMS care."
MedicationAdministration,MedicationAdministration.reasonCode,0,1,Coded concept,CodeableConcept,"Why the medication was given, e.g. linked to the working diagnosis/symptom.",,,http://hl7.org/fhir/ValueSet/condition-code,OPTIONAL — not must-support. Nice to have for audit/reporting but the clinical reasoning is usually already evident from the linked Condition/Encounter.
MedicationAdministration,MedicationAdministration.extension:administrationAttempts,0,1,Extension,Extension (positiveInt),Number of attempts made to administer this medication. Maps to medications[].attempts.,,,n/a,"MUST SUPPORT (Min 0..1) — newly identified from real handover data. Relevant for repeated-dose protocols and difficult-access scenarios (e.g. multiple IV attempts before a drug was successfully given); do not conflate with dosage — this counts administration attempts, not the number of doses."
MedicationAdministration,MedicationAdministration.note,0,*,Annotation,Annotation,Free-text notes about the administration.,,,n/a,OPTIONAL — not must-support.
