Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
FHIR Version: R4B (4.3.0) — base resources: Device (vehicle) + Location (real-time position) + PractitionerRole (crew). NEW PROFILE — identified as a gap from real handover data (ambulances[] array with zero prior modeling).,,,,,,,,,,
Device,Device.identifier,1,1,Business identifier,Identifier,"The unit's registration number, used as its primary identifier. Maps to ambulances[].id / registration_number.",,,n/a,REQUIRED (Min 1..1) AND MUST SUPPORT.
Device,Device.type,1,1,Coded concept,CodeableConcept,"Ambulance capability class. Maps to ambulances[].type (e.g. BLS, ALS).",,,"http://hie.go.ke/fhir/ValueSet/em-ambulance-type (local, proposed)",REQUIRED (Min 1..1) AND MUST SUPPORT. Proposed values: BLS (Basic Life Support) | ALS (Advanced Life Support) | Air | Other.
Device,Device.owner,0,1,Reference,Reference(Organization),Owning organization. Maps to organization_name.,,,n/a,MUST SUPPORT (Min 0..1).
Device,Device.extension:ownershipType,0,1,Extension,Extension (CodeableConcept),"Ownership category, e.g. government, private, NGO. Maps to ownership_type.",,,"http://hie.go.ke/fhir/ValueSet/em-ownership-type (local, proposed)",MUST SUPPORT (Min 0..1).
Device,Device.extension:telematicsDeviceId,0,1,Extension,Extension (string),"Onboard telematics/tracking device identifier, if present. Maps to fleet_details.device.",,,n/a,OPTIONAL — not must-support; often blank in practice as seen in the sample payload.
Device,Device.contact,0,1,Contact detail,ContactPoint,Phone number for the unit. Maps to phone_number.,,,n/a,OPTIONAL — not must-support.
Device,Device.extension:relieved,0,1,Extension,Extension (boolean),Whether this unit has been stood down/replaced by another during the incident. Maps to relieved.,,,n/a,"MUST SUPPORT (Min 0..1) — matters for MCI reporting where units are reassigned mid-incident; without this flag, a stood-down unit could be mistaken for one still actively responding."
Assigned Crew,,,,,,,,,,
PractitionerRole,PractitionerRole (assigned driver),0,1,Reference (via Device linkage),Reference(Practitioner|PractitionerRole),The unit's driver. Maps to assigned_driver.,,,n/a,MUST SUPPORT (Min 0..1).
PractitionerRole,PractitionerRole (assigned practitioner),0,1,Reference (via Device linkage),Reference(Practitioner|PractitionerRole),"The clinician aboard, distinct from the driver. Maps to assigned_practitioner.",,,n/a,MUST SUPPORT (Min 0..1) — this is typically the individual who should show up as Encounter.participant / Observation.performer / Procedure.performer on EMPOCEncounter; keep the reference consistent across all of them rather than re-identifying the same person differently per resource.
Real-Time Position & Response Status,,,,,,,,,,
Location,Location.position.latitude / .longitude,0,1,Coordinates,decimal (within Location.position),The unit's current geographic position. Maps to ambulances[].latitude/longitude.,,,n/a,MUST SUPPORT (Min 0..1).
Location,Location.extension:lastLocationUpdatedAt,0,1,Extension,Extension (dateTime),When the position was last refreshed. Maps to last_location_updated_at.,,,n/a,MUST SUPPORT (Min 0..1) — critical for knowing whether a displayed position is current or stale; a dispatch dashboard should visibly flag units whose last-updated timestamp is old.
Location,Location.extension:responseStatus,0,1,Extension,Extension (CodeableConcept),"The unit's current response state, e.g. dispatched, en-route, on-scene, transporting, at-facility. Maps to response_status.",,,"http://hie.go.ke/fhir/ValueSet/em-response-status (local, proposed)","MUST SUPPORT (Min 0..1) — was empty in the sample payload but the field clearly exists in the source schema; populate whenever the dispatch system tracks it, since this drives real-time dispatch-board logic."
