Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
"FHIR Version: R4B (4.3.0) — base resource: Condition, unchanged in structure between R4 and R4B",,,,,,,,,,
Design principle — read before using this profile,,,,,,,,,,
Condition,N/A — profile-level note,,,Guidance,n/a (reference row),This is a SPECIALIZATION of Condition for emergency diagnosis staging — do not reuse your generic/routine-visit Condition profile for ED cases.,,,n/a,"One emergency encounter (EMIncidentEncounter/EMPOCEncounter/downstream ED Encounter) is expected to produce MULTIPLE Condition instances over time — one per diagnostic stage — distinguished by category + verificationStatus, never overwritten in place. See the 'Expected Condition Instances per Encounter' section at the bottom of this sheet for how many of each stage to expect."
"Identifiers, Subject, Encounter Linkage",,,,,,,,,,
Condition,Condition.identifier,0,*,Business identifier,Identifier,Optional local identifier for this specific diagnosis entry.,,,n/a,OPTIONAL — not must-support. Most implementations rely on Condition.id + category + recordedDate for uniqueness rather than a business identifier.
Condition,Condition.subject,1,1,Reference,Reference(Patient),The patient this diagnosis concerns.,,,n/a,REQUIRED (Min 1..1) — every Condition instance must reference the same Patient (known or unidentified-temp) as the parent encounter.
Condition,Condition.encounter,1,1,Reference,Reference(Encounter),"The encounter this diagnosis was recorded in — EMIncidentEncounter, EMPOCEncounter, or a downstream ED Encounter.",,,n/a,REQUIRED (Min 1..1) — this is the primary linkage your SHA claims pipeline reads to associate a diagnosis with the correct billable encounter and its stage.
Staging — category & verificationStatus (the core of this profile),,,,,,,,,,
Condition,Condition.category,1,1,Coded concept,CodeableConcept,Which diagnostic stage this instance represents. Maps directly to the chief-complaint / working-diagnosis / discharge-diagnosis progression discussed above.,,,http://hie.go.ke/fhir/ValueSet/em-diagnosis-category (local — proposed),REQUIRED (Min 1..1) AND MUST SUPPORT. Proposed values: chief-complaint | working-diagnosis | differential-diagnosis | discharge-diagnosis. This is the single most important element on the profile — your SHA claims mapping logic MUST read this before deciding which diagnosis code to submit for adjudication. Also carry the base http://hl7.org/fhir/ValueSet/condition-category code (problem-list-item | encounter-diagnosis) as a second Coding within the same CodeableConcept if you need base-spec conformance alongside the local staging value.
Condition,Condition.verificationStatus,1,1,Coded status,code,Confidence level of this specific diagnosis entry at the time it was recorded.,,,http://hl7.org/fhir/ValueSet/condition-ver-status,REQUIRED (Min 1..1) AND MUST SUPPORT — tightened from the base spec's optional binding specifically for this emergency profile. Canonical values: unconfirmed | provisional | differential | confirmed | refuted | entered-in-error. Expected progression: chief-complaint → typically 'unconfirmed' (it's not a diagnosis); working-diagnosis → 'provisional' or 'differential'; discharge-diagnosis → 'confirmed'. NEVER submit a claim against a 'provisional' or 'differential' instance as if it were 'confirmed' — this is a common source of claim rejections.
