Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
"FHIR Version: R4B (4.3.0) — base resource: Procedure, unchanged in structure between R4 and R4B",,,,,,,,,,
Procedure,Procedure.status,1,1,Coded status,code,Workflow status of the procedure.,,,http://hl7.org/fhir/ValueSet/event-status,"REQUIRED (Min 1..1) AND MUST SUPPORT. Canonical FHIR ValueSet (required binding): preparation | in-progress | not-done | on-hold | stopped | completed | entered-in-error | unknown. 'stopped' and 'not-done' both matter in emergency care (e.g. resuscitation stopped, intubation attempt failed) — do not default everything to 'completed'."
Procedure,Procedure.category,0,1,Coded concept,CodeableConcept,"Broad category, e.g. 'emergency procedure'.",,,http://hl7.org/fhir/ValueSet/procedure-category,"MUST SUPPORT (Min 0..1) — useful for grouping/reporting but not essential to identify the specific procedure, which lives in Procedure.code."
Procedure,Procedure.code,1,1,Coded concept,CodeableConcept,"The specific procedure performed, e.g. CPR, endotracheal intubation, wound dressing, splinting.",,,http://hl7.org/fhir/ValueSet/procedure-code (SNOMED CT procedure hierarchy),"REQUIRED (Min 1..1) AND MUST SUPPORT. FLAG FROM REAL HANDOVER DATA: the source system's procedure_id values (e.g. 'LA17060-7') follow a LOINC Answer-code pattern, not SNOMED CT — LOINC isn't really designed for procedure coding. Reconcile with the vendor on the intended code system before finalizing; if their catalog is genuinely LOINC-based, this ValueSet binding needs to change, or you'll need a translation/mapping layer at ingestion."
Procedure,Procedure.subject,1,1,Reference,Reference(Patient),The patient the procedure was performed on.,,,n/a,REQUIRED (Min 1..1).
Procedure,Procedure.encounter,1,1,Reference,Reference(Encounter),The encounter the procedure was performed in — typically EMPOCEncounter.,,,n/a,REQUIRED (Min 1..1).
Procedure,Procedure.performedDateTime / performedPeriod,1,1,Timestamp (choice),dateTime or Period,"When the procedure was performed. Use performedPeriod for anything with a meaningful duration (e.g. ongoing CPR), performedDateTime for a discrete moment (e.g. a single intubation attempt).",,,n/a,REQUIRED (Min 1..1) AND MUST SUPPORT — timing precision matters as much here as it does for Condition.onset; a resuscitation timeline is frequently reviewed minute-by-minute afterward.
Procedure,Procedure.performer,0,*,Nested structure,BackboneElement,Who performed the procedure.,,,n/a,MUST SUPPORT (Min 0..*) — recommended to always populate in practice.
Procedure,Procedure.performer.actor,0,1,Reference (within performer),Reference(Practitioner|PractitionerRole),The specific EMT/paramedic/clinician who performed it.,,,n/a,MUST SUPPORT (Min 0..1).
Procedure,Procedure.outcome,0,1,Coded concept,CodeableConcept,"Result of the procedure, e.g. ROSC achieved / not achieved for resuscitation, successful/failed intubation attempt.",,,http://hl7.org/fhir/ValueSet/procedure-outcome,"MUST SUPPORT (Min 0..1) — recommended strongly for resuscitation and airway procedures specifically, since the outcome carries real clinical and legal weight, even though it's not forced to Min 1..1 across every procedure type (e.g. a routine wound dressing rarely needs a coded 'outcome')."
Procedure,Procedure.complication,0,*,Coded concept,CodeableConcept,Any complications arising from the procedure.,,,http://hl7.org/fhir/ValueSet/condition-code,"OPTIONAL — not must-support, but worth populating when relevant for clinical/legal completeness."
Procedure,Procedure.bodySite,0,*,Coded concept,CodeableConcept,"Anatomical site the procedure was performed on, e.g. wound location for dressing/splinting.",,,http://hl7.org/fhir/ValueSet/body-site,OPTIONAL — not must-support.
Procedure,Procedure.note,0,*,Annotation,Annotation,Free-text notes about the procedure.,,,n/a,OPTIONAL — not must-support.
